Location_id,Location,Address
L001,Pallavaram," 336 & 338, Main Road, Pallavaram, Chennai"
L002,Alandur," New 14, Old 11/3Q, Railway Station Road, MKN Road, Near Antony Church, Alandur, Chennai"
L003,Kodambakkam," 98/339, Arcot Road, Opposite Gokulam Chit Funds, Kodambakkam, Chennai"
L004,Perambur," 10, Periyar Nagar, 70 Feet Road, Near Sheeba Hospital, Perambur, Chennai"
L004,Perambur," 135B, SRP Colony, Peravallur, Near Perambur, Chennai"
L005,Medavakkam," Opposite Forest Office, Tambaram Main Road, Santhosapuram, Medavakkam, Chennai"
L006,Navallur," 1/187, Thalambur Road, Navallur, Chennai"
L007,Anna Nagar East," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai"
L007,Anna Nagar East," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai"
L008,T. Nagar," 102/82, GN Chetty Road, T. Nagar, Chennai"
L268,Velachery," 330/12, Grand Arcade, Dr Seetharaman Nagar, Velachery Tambaram Road, Velachery, Chennai"
L007,Anna Nagar East," AC 3, 2nd Avenue, Anna Nagar East, Chennai ."
L009,Vadapalani," 81, Opposite AVM Theater, Arcot Road, Vadapalani, Chennai"
L010,Porur," New 21-A, Arcot Road, Porur, Chennai"
L011,Kilpauk," 12/5, Ormes Road, Kilpauk, Chennai"
L012,Purasavakkam," 112/241, Purasawalkam High Road, Purasavakkam, Chennai."
L013,Ashok Nagar," 101, 4th Avenue, Ward 133, Ashok Nagar, Chennai"
L014,Chetpet," 21, Spurtank Road, Chetpet, Chennai"
L015,"Phoenix Market City, Velachery"," 142, Phoenix Marketcity, New NGO Colony, Velachery Road, Indira Gandhi Nagar, Velachery, Chennai"
L016,Aminijikarai," 132/89, Nelson Manickam Road, Mehtha Nagar, Aminijikarai, Chennai"
L017,Ramapuram," 3/88, Mount Poonamallee Road, Ramapuram, Chennai"
L018,Mylapore," 7, Pitchupillai Street, Near Kapaleeshwarar Temple, Mylapore, Chennai"
L019,Thuraipakkam," 5/349, Rajiv Gandhi Salai, OMR, Thuraipakkam, Chennai"
L020,RA Puram," 80/29, 2nd Main Road, RA Puram, Chennai"
L021,Alwarpet," 6, CP Ramaswamy Road, Alwarpet, Chennai"
L268,Velachery," 166, 100 Feet Road, Ganapathi Nagar, Velachery, Chennai"
L022,Mogappair," 22, Nolambur Service Road, Opposite KG Signature City, Mogappair West, Chennai"
L023,West Mambalam," 20, Jaishankar Street, Near Ayodhya Mandapam, West Mambalam, Chennai"
L024,Adyar," 1\/1, F-3, 1st Floor, Sindhuja Complex, 29th Cross Street, Indira Nagar, Adyar, Chennai"
L025,Nungambakkam," 309, Valluvar Kottam High Road, Nungambakkam, Chennai"
L026,Royapettah," 35, Woods Road., Royapettah, Chennai"
L018,Mylapore," 39, North Mada Street, Near Kapaleeswarar Temple, Mylapore, Chennai"
L027,Chromepet," 412/07, Thoraipakam Road Over Bridge, Chromepet, Chennai"
L011,Kilpauk," Ormes Road, Sylvan Lodge Colony, Kilpauk, Chennai"
L268,Velachery," 55 C, Velachery By-Pass Road, Sankaran Avenue, Velachery, Chennai"
L027,Chromepet," Near Vetri Theatre, Chromepet, Chennai"
L028,Kolathur," 2, Ground Floor, Valavan Nagar, Kolathur, Chennai"
L014,Chetpet," 18, Dr TV Road, Chetpet, Chennai"
L029,Valasaravakkam," 6, Arcot Road, Valasaravakkam, Chennai"
L030,Guindy," 15, GST Road, Guindy, Chennai"
L022,Mogappair," 40, Nolambur, Phase - 1, Mogappair, Chennai"
L031,Potheri," 1, Pillayar Koil Street, Near SRM University, Potheri, Kanchipuram District, Chennai"
L025,Nungambakkam," 11, 1st Floor, Khader Nawaz Khan Road, Nungambakkam, Chennai"
L006,Navallur," 1/398, Rajiv Gandhi Salai, OMR, Navalur, Chennai"
L022,Mogappair," 6/20, Venugopal Street, Mogappair, Chennai"
L018,Mylapore," 113/114, PS Sivaswami Salai, Mylapore, Chennai"
L004,Perambur," 105, EH Road, Sharma Nagar, Vyasarpadi, Perambur, Chennai"
L032,Egmore," 99/59, Pantheon Road, Opposite Museum, Egmore, Chennai"
L010,Porur," 5/24, Karambakkam, Porur, Chennai"
L033,Madipakkam," 11,12 & 13, Velachery Main Road, Ram Nagar, Madipakkam, Chennai"
L268,Velachery," 20, Dhandeeswaram Main Road, Velachery, Chennai"
L034,Thiruvanmiyur," 72, Block 14, Dr. Muthulakshmi Salai, LB Road, Thiruvanmiyur, Chennai"
L268,Velachery," No. 37F, Velachery Main Road, Velachery, Chennai"
L035,Saligramam," 5, Arunachalam Road, Opposite Prasad Studio, Saligramam, Chennai"
L027,Chromepet," 15, CLC Works Road, Near Balaji Medical College, Chromepet, Chennai"
L036,Sholinganallur," 293/A, IT Express Way, Beside Swensens Building, Sholinganallur Signal, Sholinganallur, Chennai"
L010,Porur," Shop 2, 28/B, Mount Poonamalee Road, Opposite DLF, Porur, Chennai"
L026,Royapettah," 193, Peters Road, Opposite New College, Royapettah, Chennai"
L008,T. Nagar," 4, Kannaiya Street, North Usman Road, Near Reliance Fresh, T. Nagar, Chennai"
L021,Alwarpet," Abhinav Center, Old Number 19, New Number 4, Co-operative Colony, Off Chamiers Road, Alwarpet, Chennai"
L007,Anna Nagar East," 21/11, J Block, 6th Avenue Main Road, Anna Nagar East, Chennai"
L011,Kilpauk," 62C, Ormes Road, Kilpauk, Chennai"
L025,Nungambakkam," 23, Wallace Garden, 3rd Street, Nungambakkam, Chennai"
L025,Nungambakkam," 7, Jaganathan Road, Opposite Vijay TV Office, Nungambakkam, Chennai"
L268,Velachery," 21/33, Velachery Main Road, Velachery, Chennai"
L007,Anna Nagar East," AJ 6, 4th Avenue, Shanthi Colony, Anna Nagar East, Chennai"
L010,Porur," 116, Bazar Road, Kundrathur, Porur, Chennai"
L021,Alwarpet," 37/20, Bheemanna Garden Street, Alwarpet, Chennai"
L025,Nungambakkam," 16, Wallace Garden, 2nd Street, Nungambakkam, Chennai"
L037,Perungudi," 111/141, Near Kandanchavadi Bus Depot, Old Mahabalipuram Road (OMR), Perungudi, Chennai"
L038,Besant Nagar," E-50, 17th Cross Street, Lane Before Spencers Daily, Besant Nagar, Chennai"
L039,Kotturpuram," 47, Gandhi Mandapam Road, Kotturpuram, Chennai"
L016,Aminijikarai," 687/7, P.H Road, Aminijikarai, Chennai"
L003,Kodambakkam," Brown Star Boutique Hotel, 2/25, Dr. Ambedkar Road, Kodambakkam, Chennai"
L040,Semmancheri," 3/62, 2nd Floor, Tech Pump Towers, Kumaran Nagar, Semmancheri, Chennai"
L011,Kilpauk," 2/64, Ormes Main Road, Kilpauk, Chennai"
L041,Royapuram," 123, MS Koil Street, Royapuram, Chennai"
L003,Kodambakkam," 64/A, 162, Sivan Kovil South Street, Kodambakkam, Chennai"
L042,Anna Nagar West," C 40, 3rd Floor, 2nd Avenue, Opposite KFC, Anna Nagar West, Chennai"
L037,Perungudi," 4/418, Ground Floor, MGR Salai, Kandanchavadi, Perungudi, Chennai"
L011,Kilpauk," Families Complex, Medavakkam Tank Road, Kilpauk, Chennai"
L029,Valasaravakkam," 103/1, Ground Floor, Arcot Road, Valasaravakkam, Chennai"
L015,"Phoenix Market City, Velachery"," Shop 40, Plot 142, Phoenix Market City, Velachery Main Road, Velachery, Chennai"
L022,Mogappair," Plot 1410 & 1411, Thiruvalluvar Salai, Mogappair, Chennai"
L007,Anna Nagar East," F-36, KG Galaxy, 2nd Avenue, Above Fab India, Anna Nagar East, Chennai"
L043,Grand by GRT Hotels," Grand by GRT Hotels, 120, Sir Thyagaraya Road, T. Nagar, Chennai"
L022,Mogappair," 3,PC-7, Kambar Salai, West Mogappair, Chennai"
L004,Perambur," 101/102, Madhavaram High Road, Perambur, Chennai"
L039,Kotturpuram," 2/10, Gandhi Mandapam Road, Kotturpuram, Chennai"
L268,Velachery," Shop 17 & 18, Rajalakshmi Nagar, 7th Cross Street, 100 Feet Bypass Road, Velachery, Chennai"
L037,Perungudi," 1/1666, OMR, MGR Salai (Opposite to Royal Enfield showroom) Perungudi, Chennai"
L044,Ambattur," 127, Red Hills Main Road, Near Sethubaskara High School, Ambattur, Chennai"
L045,Thousand Lights," 11, Greams Road, Thousand Lights, Chennai"
L025,Nungambakkam," 10, Haddows Road, Opposite Shastri Bhavan, Nungambakkam, Chennai"
L038,Besant Nagar," 17, 5th Avenue, Besant Nagar, Chennai"
L021,Alwarpet," 6,Seshadri Road, Venus Colony, Alwarpet, Chennai"
L042,Anna Nagar West," Plot 1633, 54, H-Block, Ground Floor, 13th Main Road, Anna Nagar West, Chennai"
L009,Vadapalani," 165 & 167, 100 Feet Road, Vadapalani, Chennai"
L031,Potheri," 45, Samundeshwari Nagar, Tailavaram, Potheri, Chennai"
L012,Purasavakkam," 128, Perambur Barracks Road, Purasavakkam, Chennai"
L042,Anna Nagar West," AC 112, Ground Floor, 4th Avenue, Shanthi Colony, Anna Nagar West, Chennai"
L268,Velachery," 2, Sarathy Nagar, 1st Main Road, Velachery, Chennai"
L015,"Phoenix Market City, Velachery"," 142, 1st Floor, Phoenix Market City, Velachery, Chennai"
L268,Velachery," 27/28, Vijayanagar Extension, Velachery Main Road, Velachery, Chennai"
L032,Egmore," 36, Casa Major Road, Egmore, Chennai"
L113,"Mayajaal Multiplex, Kanathur"," Mayajaal Multiplex, Kanathur, Chennai"
L025,Nungambakkam," 1, Park Side Street, Lake Area, Nungambakkam, Chennai"
L042,Anna Nagar West," Flat 51/C, Shanthi Colony Main Road, Anna Nagar West, Chennai"
L018,Mylapore," 31, Arundale Street, Mylapore, Chennai"
L026,Royapettah," 296, Royapettah High Road, Royapettah, Chennai"
L025,Nungambakkam," 52, Nungambakkam High Road, Nungambakkam, Chennai"
L025,Nungambakkam," Old 11, New 19, 1st Floor, Brindhavan Apartment, Khader Nawaz Khan Road, Nungambakkam, Chennai"
L032,Egmore," 24, Casa Major Road, Egmore, Chennai"
L060,Washermenpet," 183/4 (601), T.H Road, Opposite Apollo Hospital, Tondiarpet, Washermenpet, Chennai"
