Restaurant_id,Dining_Rating,Dining_Rating_Count,Delivery_Rating,Delivery_Rating_Count,Location_id
R001,4.3,1500,4.3,9306,L001
R002,4.4,3059,4.1,39200,L002
R003,4.3,1361,4.4,10500,L003
R004,4,1101,4,11200,L004
R005,4.2,617,4.1,22400,L004
R006,4.1,567,3.8,24700,L005
R007,,,4.3,1061,L006
R008,4.3,668,4.3,4320,L007
R009,4.2,2564,4.1,21700,L007
R010,4.4,1578,4.2,39600,L008
R011,3.9,743,3.9,6226,L268
R012,4.4,961,3.6,7591,L007
R013,4,982,3.8,22400,L009
R014,4.3,770,4,7670,L010
R015,4.3,1266,4.2,17700,L011
R016,4.5,1094,,,L012
R017,4.1,1363,3.8,6228,L013
R018,4.2,742,4.1,3020,L014
R019,4.1,354,,,L015
R020,4.1,660,3.9,12600,L016
R021,4.2,802,4.1,10600,L017
R022,4.3,578,3.9,14700,L018
R023,4.2,1992,3.8,50100,L019
R024,4.2,464,,,L020
R025,4.7,782,4.2,2744,L021
R026,4.2,1180,4,1717,L268
R027,4.3,1139,3.9,10100,L022
R028,4.2,457,4,19400,L023
R029,4.1,625,3.3,10300,L024
R030,4.3,1030,4.2,2731,L025
R031,4.1,1118,4.1,2895,L026
R032,4.2,403,4.3,11100,L018
R033,4.3,602,4,1868,L027
R034,4.3,455,4.3,4253,L011
R035,3.9,350,3.4,3708,L268
R036,3.5,646,3.8,1552,L027
R037,4,429,4.1,5297,L028
R038,4.6,1085,4.4,18600,L014
R039,3.9,704,4.2,1457,L029
R040,4,712,4.1,13600,L030
R041,4.2,692,4.1,34600,L022
R042,3.9,601,3.9,17500,L031
R043,4.2,774,4,8705,L025
R044,4.2,1059,3.6,5961,L006
R045,3.6,409,3.7,11300,L022
R046,4.3,946,4,787,L018
R047,4,559,3.8,15600,L004
R048,4.4,2162,4,9721,L032
R049,4,523,3.8,14700,L010
R050,3.8,602,3.9,6855,L033
R051,4.6,908,4.2,17300,L268
R052,4.2,1082,4.2,6345,L034
R053,3.6,565,4.1,3302,L268
R054,4.2,2275,3.9,15800,L035
R055,4.2,1288,3.8,19700,L027
R056,4.1,2449,3.8,59900,L036
R057,4.1,835,3.5,22600,L010
R058,4.9,842,4.3,2270,L026
R059,4.3,1009,3.9,6225,L008
R060,4.7,1152,4.2,2249,L021
R061,4.4,2485,3.9,9838,L007
R062,4,731,3.7,1503,L011
R063,4.8,1516,4.5,361,L025
R064,3.7,1135,2.9,3359,L025
R065,4.3,1078,3.7,3862,L268
R066,4.3,1225,3.9,12600,L007
R067,4,849,3.4,7318,L010
R068,4.5,768,4,245,L021
R069,4.5,2252,4.3,1973,L025
R070,2.7,854,3.7,14500,L037
R071,4.7,1349,4.2,1435,L038
R072,4.3,1943,4,717,L039
R073,3.9,460,3.8,18,L016
R074,4.1,1262,3.8,543,L003
R075,4.4,5407,3.6,4375,L040
R076,4.7,3042,4.4,3954,L011
R077,4.1,1096,3.7,17100,L041
R078,,,3.9,19600,L003
R079,4.5,983,4.5,5537,L042
R080,4.3,771,3.7,1624,L037
R081,4.1,345,4,8824,L011
R082,4.3,585,3.4,7773,L029
R083,4,1027,4.1,9066,L015
R084,4.1,669,3.6,17900,L022
R085,4.1,1124,4.2,9832,L007
R086,4.4,1198,,,L043
R087,4,515,3.9,21100,L022
R088,3.9,447,3.8,13100,L004
R089,4.7,920,4.4,362,L039
R090,4.4,9410,,,L268
R091,4.2,763,3.4,2318,L037
R092,4,741,3.9,13300,L044
R093,4.5,609,4.6,1699,L045
R094,4.7,979,,,L025
R095,4.2,954,3.9,150,L038
R096,4.3,1464,3.9,1282,L021
R097,4.4,794,4.3,911,L042
R098,4.2,816,,,L009
R099,4,780,3.6,24100,L031
R100,4.1,222,3.8,3688,L012
R101,4.4,697,4,10700,L042
R102,4.3,2994,4.2,1896,L268
R103,4.6,1498,4.2,335,L015
R104,4,670,3.9,38,L268
R105,4.1,611,3.7,12200,L032
R106,4.9,2109,4,2226,L113
R107,,,4,11200,L025
R108,,,4.2,11500,L042
R109,4.7,904,4.3,1319,L018
R110,4.1,516,4.2,3857,L026
R111,4.5,1611,3.8,750,L025
R112,4.5,1258,4,147,L025
R113,2.9,374,3.9,249,L032
R114,4.1,509,4,7860,L060
R115,,,3.9,652,L026
R116,4.5,705,4.3,1552,L032
R117,4.6,764,4.2,881,L007
R118,4.4,1485,3.9,3438,L038
R119,4.3,602,,,L010
R120,4,323,4.1,8565,L038
R121,4.1,459,4,1610,L053
R122,4.3,721,3.7,378,L007
R123,2.9,447,3.6,3109,L025
R124,3.9,653,4,4329,L011
R125,4.3,682,4.3,5346,L032
R126,4.4,2390,,,L055
R127,4.3,652,3.9,4352,L007
R128,4.3,704,,,L142
R129,4.2,825,3.9,128,L144
R130,4.1,429,3.3,4704,L090
R131,4.4,593,4.1,6017,L010
R132,4.3,529,4,9855,L008
R133,4.2,589,3.9,1268,L149
R134,4.3,2430,4,369,L024
R135,4.1,1101,,,L025
R136,3.9,849,3.1,720,L008
R137,,,4.1,1347,L134
R138,4.3,866,4,921,L007
R139,,,4.3,7457,L070
R140,4.4,1047,4.3,142,L021
R141,4.2,607,,,L076
R142,4.4,1307,4.3,1680,L020
R143,4.3,696,4.2,880,L021
R144,4.1,769,3.8,695,L021
R145,4.1,1218,3.6,6979,L007
R146,4.2,443,4.2,2463,L025
R147,4.2,437,4.1,5340,L058
R148,4,354,4,9088,L041
R149,4.4,1917,,,L026
R150,4.2,2277,4.3,250,L018
R151,4.2,1534,4.4,726,L024
R152,4.4,1510,3.9,413,L130
R153,4.3,607,3.3,107,L102
R154,4.3,542,4,224,L058
R155,4.5,1038,,,L070
R156,4.9,584,4.4,895,L023
R157,4.6,1132,3.9,237,L025
R158,4,954,3.6,556,L008
R159,4.5,1009,4.3,1444,L038
R160,4.2,346,3.6,931,L007
R161,4.2,888,4,4425,L008
R162,4,377,,,L166
R163,4.2,889,,,L015
R164,4.8,1658,4.5,2825,L090
R165,4,256,4.5,1574,L032
R166,4.3,906,4.2,1232,L058
R167,3.9,917,3.4,7185,L013
R168,4.2,847,4.3,5416,L168
R169,4.2,1044,3.5,7116,L024
R170,4.2,920,4,3618,L038
R171,4.3,697,4,584,L021
R172,4.4,2492,,,L018
R173,4.1,2733,3.9,200,L024
R174,4.7,2546,4.2,1006,L025
R175,4.2,1025,3.9,957,L025
R176,4.2,585,,,L025
R177,4.3,794,4.4,3698,L020
R178,4.6,2102,4.2,995,L008
R179,4.7,1304,3.9,11200,L021
R180,4.3,695,3.6,1295,L012
R181,4.1,964,4,8726,L025
R182,4,1068,4,325,L024
R183,4.4,2018,4,667,L018
R184,4.3,371,4.3,2361,L032
R185,4.9,996,4.3,500,L177
R186,4.6,1311,,,L048
R187,4,1281,2.7,4926,L007
R188,4.7,1138,,,L043
R189,4.3,1276,3.6,17200,L077
R190,4.3,720,3.8,165,L021
R191,4.3,1100,4.2,160,L020
R192,4.4,1881,4,1017,L058
