Restaurant_id,Restaurant_name,Location_id,Cuisine,Top_Dishes,Price_for_two,Features,Dining_available,Delivery_available
R001,Yaa Mohaideen Briyani,L001,['Biryani'],"['Bread Halwa', ' Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Brinjal Gravy', ' Basmati Rice', ' Raita']",500,"['Home Delivery', 'Indoor Seating']",YES,YES
R002,Sukkubhai Biriyani,L002,"['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']","['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']",YES,YES
R003,SS Hyderabad Biryani,L003,"['Biryani', ' North Indian', ' Chinese', ' Arabian']","['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500,"['Home Delivery', 'Indoor Seating']",YES,YES
R004,KFC,L004,"['Burger', ' Fast Food', ' Finger Food', ' Beverages']",['Zinger Burger'],500,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']",YES,YES
R005,Tasty Kitchen,L004,"['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']","['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450,"['Home Delivery', 'Indoor Seating']",YES,YES
R006,Dine N Fun,L005,"['South Indian', ' North Indian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450,"['Home Delivery', 'Indoor Seating']",YES,YES
R007,Bai Veetu Kalyanam,L006,['Biryani'],"['Bread Halwa', ' Mutton Biryani', ' Brinjal Gravy', ' Raita', ' Brinjal Curry']",350,['Home Delivery'],NO,YES
R008,Cafe Arabica,L007,"['Cafe', ' Fast Food']","['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",YES,YES
R009,Savoury Sea Shell,L007,"['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']","['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']",YES,YES
R010,Sangeetha Veg Restaurant,L008,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']","['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']",YES,YES
R011,McDonald's,L268,"['Burger', ' Fast Food']","['Burgers', ' Peri Peri Fries', ' French Fries', ' Maharaja Mac', ' Chicken Nuggets', ' Rice Bowl', ' Wings']",500,"['Breakfast', 'Home Delivery', 'Indoor Seating']",YES,YES
R012,Kovai Alankar Vilas,L007,['South Indian'],"['Elaneer Payasam', ' Paratha', ' Mutton Chukka', ' Mutton Kola Urundai', ' Mutton Biryani', ' Kali Dosa', ' Nannari Sharbat']",700,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table booking recommended']",YES,YES
R013,Hotel Al Buhari,L009,"['Chinese', ' Chettinad']","['Shawarma', ' Fried Rice Chicken', ' Biryani']",350,"['Home Delivery', 'Indoor Seating']",YES,YES
R014,Dindigul Thalappakatti,L010,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",YES,YES
R015,Hotel Paramount,L011,"['North Indian', ' Chinese', ' Seafood', ' South Indian', ' Biryani']","['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']",YES,YES
R016,Welcome Hotel,L012,"['South Indian', ' Desserts', ' Beverages']","['Pongal', ' Podi Dosa', ' Idli Sambar', ' Vada Curry', ' Rava Dosa', ' Coffee', ' Masala Dosa']",300,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",YES,NO
